ID
VTI1B
IRGM
TOM1
BIRC6
NSF
RUBCNL
MAP1LC3A
BLOC1S2
BECN1
UVRAG
LAMP1
VPS39
BORCS5
AMBRA1
EPG5
MAP1LC3B
RAB20
VPS33A
LAMP3
VAMP8
SPG11
STX6
ATG14
LAMP5
RAB29
SNAP29
VAMP3
